CD;FILIALNAME;DATAT0;DATATF;TIPOMATERIAL;COD_MATERIAL;NOME_MATERIAL;UM;QTDE_SALDO_INIC;QTDE_SALDO_FINAL;QTDE_E_TOTAL;QTDE_S_TOTAL;QTDE_E_NF;QTDE_S_PAC;QTDE_E_INI_SD;QTDE_S_OUTR;QTDE_E_DEVOL;QTDE_S_PERDA;QTDE_E_INVENT;QTDE_S_INVENT;QTDE_E_3OS;QTDE_S_DEVOL;QTDE_S_3OS;VALOR_INIC;VALOR_FINAL;VALOR_E_TOTAL;VALOR_S_TOTAL;VALOR_E_NF;VALOR_S_PAC;VALOR_E_INI_SD;VALOR_S_OUTR;VALOR_E_DEVOL;VALOR_S_PERDA;VALOR_E_INVENT;VALOR_S_INVENT;VALOR_E_3OS;VALOR_S_DEVOL;VALOR_S_3OS
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;636924;FRESUBIN PROTEIN ENERGY DRINK - FRUTAS VERMELHAS | 200ML;Frasco;80,00;80,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;760,00;760,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;641358;MCT TRIGLICERIDEOS DE CADEIA MEDIA| FRASCO 500ML;Frasco;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;257,35;257,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;638002;FRESUBIN ORIGINAL | PACK 1000ML;Bolsa;6,00;70,00;120,00;56,00;120,00;56,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;159,57;1821,98;3120,00;1457,59;3120,00;1457,59;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;640533;NOVASOURCE GC 1.5| SF 1000ML;Frasco;79,00;147,00;147,00;79,00;126,00;79,00;0,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;4339,12;8134,99;8167,74;4371,87;7005,60;4371,87;0,00;0,00;1162,14;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;641359;NAN SOY | LATA 800G;Lata;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;578,21;578,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;651396;FRESUBIN 5 KCAL SHOT | EASY BOTTLE 120ML;Frasco;20,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;410,00;410,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;644414;PEPTAMEN HN| PACK 500ML SF;Frasco;43,00;0,00;132,00;175,00;132,00;173,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;2777,30;0,00;8580,00;11357,30;8580,00;11227,50;0,00;0,00;0,00;129,80;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;650966;NOVAMIL RICE |  LATA 400 GRAMAS;Lata;11,00;0,00;1,00;12,00;0,00;12,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;3212,60;0,00;292,05;3504,65;0,00;3504,65;0,00;0,00;292,05;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;644424;ALFAMINO| LATA 400G;Lata;12,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2322,72;2322,72;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;644425;APTAMIL PROEXPERT SL| LATA 400G;Lata;10,00;10,00;10,00;10,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;530,29;500,15;470,00;500,14;470,00;500,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;649547;APTANUTRI PREMIUM 3 |800GR;Lata;3,00;4,00;4,00;3,00;4,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;165,00;220,00;220,00;165,00;220,00;165,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;653108;FRESUBIN 2KCAL CREME FRUTAS DA FLORESTA;Pote;67,00;133,00;192,00;126,00;192,00;126,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1339,75;2659,87;3840,00;2519,88;3840,00;2519,88;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;651441;NAN ESPESSAR | LATA 800G;Lata;4,00;5,00;4,00;3,00;4,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;356,25;437,66;344,00;262,59;344,00;262,59;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;656450;APTANUTRI PROFUTURA 3;Lata;3,00;0,00;3,00;6,00;3,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;216,00;0,00;216,00;432,00;216,00;432,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;657726;FRESUBIN HP ENERGY FIBRE | S.F. 1000ML;Bolsa;149,00;112,00;9,00;46,00;0,00;46,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;8152,63;6128,15;492,44;2516,92;0,00;2516,92;0,00;0,00;492,44;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;657729;FIBER MAIS |LATA 260 GRAMAS;Lata;19,00;20,00;13,00;12,00;11,00;12,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;1393,68;1434,39;901,34;860,63;757,90;860,63;0,00;0,00;143,44;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;659869;OMEGA-3 TG DHA LIQUID SUPER;Frasco;5,00;3,00;2,00;4,00;2,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1530,18;790,58;314,50;1054,10;314,50;1054,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;654167;GLUTAMAX | SACHE 5 GRAMAS;SACHE;436,00;452,00;689,00;673,00;390,00;673,00;0,00;0,00;255,00;0,00;44,00;0,00;0,00;0,00;0,00;1316,09;1360,43;2069,93;2025,59;1170,00;2025,59;0,00;0,00;767,50;0,00;132,43;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;656749;PEDIASURE COMPLETE BAUNILHA | 850GR;Lata;5,00;3,00;5,00;7,00;5,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;585,94;408,51;775,75;953,18;775,75;953,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;658004;NUTREN SENIOR LIQUIDO | GARRAFINHA 200ML SABOR BAUNILHA;Frasco;28,00;28,00;28,00;28,00;28,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;432,60;442,96;453,32;442,96;453,32;442,96;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;661781;FRESUBIN 2KCAL CREME PRALINÉ;Pote;12,00;97,00;168,00;83,00;168,00;83,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;240,00;1940,00;3360,00;1660,00;3360,00;1660,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;661473;ENSURE PÓ BAUNILHA |850g;Lata;1,00;5,00;5,00;1,00;5,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;171,79;949,96;968,16;189,99;968,16;189,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;662173;NEOFORTE BAUNILHA| LATA 400 GRAMAS;Lata;5,00;5,00;5,00;5,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;865,00;865,00;865,00;865,00;865,00;865,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;665776;NUTREN JUST PROTEIN | LATA 280 GRAMAS;Lata;3,00;3,00;4,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;323,70;323,70;431,60;431,60;431,60;431,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;674661;APTAMIL PREMIUM 2 | LATA 800G;Lata;28,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1789,41;1789,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;674662;APTAMIL SENSITIVE ACTIVE | LATA 800G;Lata;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;221,93;221,93;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;674667;FRESUBIN ENERGY DRINK SABOR BAUNILHA 200ML;Tetrapack;188,00;198,00;192,00;182,00;192,00;182,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1885,20;1882,67;1728,00;1730,53;1728,00;1730,53;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;674669;FRESUBIN ENERGY DRINK SABOR MORANGO 200ML;Tetrapack;26,00;46,00;48,00;28,00;48,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;305,43;458,40;432,00;279,03;432,00;279,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;674187;NESLAC COMFOR ZERO LACTOSE | LATA 700G;Lata;1,00;0,00;9,00;10,00;9,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;69,85;0,00;629,40;699,25;629,40;699,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;674963;APTAMIL PRO EXPERT PEPTI | 800G;Lata;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1130,70;1130,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;664596;PROTEIN PT | LATA 240G;Lata;14,00;8,00;5,00;11,00;5,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1726,09;919,09;456,75;1263,75;456,75;1263,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;667872;FRESUBIN 2 KCAL DRINK SABOR BAUNILHA | FRASCO 200 ML;Frasco;24,00;44,00;48,00;28,00;48,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;340,79;530,93;528,00;337,86;528,00;337,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;669776;NUTRINI MULTI FIBER SF | PACK 500ML;Frasco;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;576,00;576,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;673707;NUTREN CONTROL BAUNILHA | 200ML;Frasco;134,00;109,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00;1502,35;1222,06;0,00;280,29;0,00;0,00;0,00;0,00;0,00;280,29;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;673814;SNELLA BRANCO | PCT 336G;Pacote;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;126,72;126,72;0,00;0,00;0,00;0,00;0,00;126,72;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;672096;PALATINOSE | NEUTRO POTE 300G;Pote;0,00;0,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;85,99;85,99;85,99;85,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;665777;MTOR | CPD;Comprimido;720,00;720,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2674,26;2674,26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;672095;BCAA FIX DARKNESS | NEUTRO POTE 240 G;Pote;1,00;1,00;2,00;2,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;138,90;138,90;277,80;277,80;277,80;277,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;672097;MALTODEXTRIN | GUARANA POTE 1KG;Pote;3,00;2,00;1,00;2,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;102,23;68,55;34,86;68,54;34,86;68,54;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;672098;BEST VEGAN | MUFFIN COM MORANGO E BANANA POTE 500G;Pote;1,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;194,50;197,25;199,99;197,24;199,99;197,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;676939;FORTINI COMPLETE BAUNILHA | LATA 800G;Lata;18,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1438,25;1438,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;675261;APTAMIL PREMIUM 1 | LATA 800G;Lata;10,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;651,35;0,00;0,00;651,35;0,00;0,00;0,00;0,00;0,00;651,35;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;684662;CREATINA CREAPURE | LATA 250G;Lata;0,00;0,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;319,99;319,99;319,99;319,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;676404;GLUCERNA SR | LATA 850G;Lata;0,00;9,00;17,00;8,00;17,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1948,76;3681,00;1732,24;3681,00;1732,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;691100;ISOSOURCE 1.0 400G;Lata;55,00;48,00;31,00;38,00;24,00;38,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2224,75;1941,60;1253,95;1537,10;970,80;1537,10;283,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;691151;NUTRINI STANDARD PACK 500ML;Frasco;0,00;0,00;24,00;24,00;0,00;24,00;0,00;0,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1848,00;1848,00;0,00;1848,00;0,00;0,00;1848,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;688040;FRESUBIN HEPA;Tetrapack;53,00;86,00;105,00;72,00;105,00;72,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2192,43;3479,42;4200,00;2913,01;4200,00;2913,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;691146;ISOSOURCE JUNIOR 400 G;Lata;224,00;94,00;22,00;152,00;0,00;152,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;9461,76;3970,56;929,28;6420,48;0,00;6420,48;0,00;0,00;929,28;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;199006;MODULEN IBD | 400 G;Lata;48,00;48,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12480,00;12480,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;199009;CUBITAN | 200ML BAUNILHA;Frasco;4,00;40,00;64,00;28,00;64,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;71,60;716,00;1145,60;501,20;1145,60;501,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;199013;NUTREN ACTIVE BAUNILHA | 400 G;Lata;4,00;4,00;3,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;142,77;143,13;107,70;107,34;107,70;107,34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;199014;NUTREN 1.0  |400 G;Lata;91,00;77,00;24,00;38,00;24,00;38,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3667,80;3105,85;970,80;1532,75;970,80;1532,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;199017;RESOURCE FIBER MAIS  |5 G;Envelope;926,00;536,00;1132,00;1522,00;1020,00;1470,00;0,00;0,00;60,00;0,00;52,00;52,00;0,00;0,00;0,00;4714,74;2739,86;5805,11;7779,99;5232,60;7514,18;0,00;0,00;306,70;0,00;265,81;265,81;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;199019;NUTILIS | 300 G;Lata;11,00;9,00;6,00;8,00;6,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;695,28;568,21;378,00;505,07;378,00;505,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;199020;PREGOMIN PEPTI | 400 G ;Lata;27,00;14,00;39,00;52,00;39,00;52,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3321,00;1722,00;4797,00;6396,00;4797,00;6396,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;199026;Isosource SOYA 1000 ML Tetrapack;Frasco;205,00;416,00;674,00;463,00;672,00;463,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;3746,08;7578,35;12266,83;8434,56;12230,40;8434,56;0,00;0,00;36,43;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;199028;Isosource 1.5 CAL |1000 ML Tetrapack;Frasco;634,00;544,00;1046,00;1136,00;1032,00;1134,00;0,00;0,00;14,00;2,00;0,00;0,00;0,00;0,00;0,00;14594,12;12529,44;24099,73;26164,41;23777,28;26118,35;0,00;0,00;322,45;46,06;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;199037;NUTRINI STANDARD | 200 ML ;Frasco;1178,00;260,00;0,00;918,00;0,00;918,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21663,42;4781,40;0,00;16882,02;0,00;16882,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;199038;NUTRINI MULTI FIBER | 200 ML ;Frasco;449,00;483,00;940,00;906,00;696,00;795,00;0,00;0,00;72,00;0,00;172,00;111,00;0,00;0,00;0,00;9588,00;10298,15;20027,18;19317,03;14824,80;16950,37;0,00;0,00;1535,13;0,00;3667,25;2366,66;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;237566;NUTREN JUNIOR | 400 G;Lata;0,00;16,00;33,00;17,00;0,00;17,00;0,00;0,00;33,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;675,83;1393,89;718,06;0,00;718,06;0,00;0,00;1393,89;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;237567;PEPTAMEN JUNIOR|  400 G;Lata;32,00;35,00;72,00;69,00;72,00;69,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4756,74;5199,10;10692,00;10249,64;10692,00;10249,64;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;CD Único - SP;27/02/2024;28/03/2024;Dietas;237569;PEPTAMEN 1.5 BOLSA |1000 ML SISTEMA FECHADO;Bolsa;0,00;85,00;234,00;149,00;186,00;101,00;0,00;0,00;0,00;0,00;48,00;48,00;0,00;0,00;0,00;0,00;6862,05;18890,82;12028,77;15015,78;8153,73;0,00;0,00;0,00;0,00;3875,04;3875,04;0,00;0,00;0,00
